"Spørsmål","Alt 1","Alt 2","Alt 3","Alt 4","Fasit"
"Hva er en vanlig grunn til å utelate respondenter fra analysen av spørreskjemadata?","De har krysset av flere svaralternativer der bare ett var tillatt","De har rettlinjet svarene sine gjennom deler av spørreskjemaet","De har skrevet ufullstendige setninger i åpne tekstfelt","De har svart raskere enn gjennomsnittlig svartid","De har krysset av flere svaralternativer der bare ett var tillatt"
"Hva kan bidra til redusert reliabilitet i en studie?","Bruk av standardiserte spørreskjemaer","Variasjoner i måleprosessen","Ensartede svaralternativer","Stort antall respondenter","Variasjoner i måleprosessen"
"Hva menes med sosial enskjønnshet som en responsskjevhet?","At respondenter endrer svarene for å passe inn med normene i samfunnet","At respondenter lar være å svare på spørsmål de opplever som sensitive","At respondenter lar seg påvirke av rekkefølgen på svaralternativene","At respondenter velger samme svar på mange spørsmål","At respondenter endrer svarene for å passe inn med normene i samfunnet"
"Hva kan være et tegn på at datarensing er nødvendig?","Dataene er homogene","Det finnes inkonsistente svar eller verdier utenfor gyldig område","Variabelnavnene er korte og enkle","Alle respondentene har svart på samme måte","Det finnes inkonsistente svar eller verdier utenfor gyldig område"
"Hva er hovedformålet med å bruke et representativt utvalg?","Å redusere kompleksiteten i forskningsdesign","Å muliggjøre generalisering til populasjonen","Å fokusere på spesifikke subgrupper","Å minimere datainnsamlingstid","Å muliggjøre generalisering til populasjonen"
"Hva skiller sannsynlighetsutvalg fra ikke-sannsynlighetsutvalg?","Sannsynlighetsutvalg inkluderer tilfeldige metoder for trekking","Sannsynlighetsutvalg krever mindre tid og ressurser","Ikke-sannsynlighetsutvalg er mer nøyaktig enn sannsynlighetsutvalg","Ikke-sannsynlighetsutvalg unngår systematiske feil","Sannsynlighetsutvalg inkluderer tilfeldige metoder for trekking"
"Hva er et stratifisert utvalg?","Et utvalg basert på tilgjengelighet","Et utvalg hvor populasjonen er delt i grupper, og utvalg trekkes fra hver gruppe","Et utvalg hvor hver enhet i populasjonen har lik sannsynlighet for å bli valgt","Et utvalg hvor kun ekstremer er representert","Et utvalg hvor populasjonen er delt i grupper, og utvalg trekkes fra hver gruppe"
"Hva er en viktig fordel med å bruke spørreskjemaer i forskning?","De gir dype, kvalitative data","De tillater enkel datainnsamling fra store grupper","De krever ikke samtykke","De kan bare brukes i laboratoriestudier","De tillater enkel datainnsamling fra store grupper"
"Hva er en ulempe ved å bruke åpne spørsmål i spørreundersøkelser?","De gir for lite detaljert informasjon","De er tidkrevende å analysere","De forhindrer respondentene fra å uttrykke seg fritt","De kan ikke inkluderes i nettbaserte undersøkelser","De er tidkrevende å analysere"
"Hvilket spørsmål er et eksempel på en ledende formulering?","Hva mener du om miljøpolitikken?","Hvorfor er du enig i at miljøpolitikken er viktig?","Hvordan påvirker miljøpolitikken deg?","Hva er dine tanker om miljø og politikk?","Hvorfor er du enig i at miljøpolitikken er viktig?"
"Hva sikrer god validitet i et spørreskjema?","Spørsmålene måler det de er ment å måle","Spørsmålene er kortfattede","Det er mange spørsmål for å samle mye data","Spørsmålene er alle ja/nei-formuleringer","Spørsmålene måler det de er ment å måle"
"Hva er formålet med en pilotstudie av en spørreundersøkelse?","Å analysere resultatene statistisk","Å teste undersøkelsens design og spørsmål","Å samle høyflyvende data","Å få samtykke fra deltakere","Å teste undersøkelsens design og spørsmål"
"Hva er en skala som rangerer svar fra 'helt uenig' til 'helt enig' kjent som?","Likert-skala","Semantisk differensialskala","Nominell skala","Spørsmålsmatrise","Likert-skala"
"Hvilket av disse spørsmålene egner seg best som det første i en spørreundersøkelse?","Hvor mye penger tjener du årlig? (Lukket spørsmål med svaralternativer).","Hvor ofte bruker du kollektivtransport? (Lukket spørsmål med svaralternativer).","Hvorfor mener du at politikk er viktig? (Åpent spørsmål).","Hva er din mening om global oppvarming? (Åpent spørsmål).","Hvor ofte bruker du kollektivtransport? (Lukket spørsmål med svaralternativer)."
"Hva er formålet med et godt førstesprøsmål i en spørreundersøkelse?","Gi respondenten mest mulig informasjon om forskningsprosjektet","Å fange respondentens interesse og skape en positiv opplevelse av undersøkelsen","Å samle inn den viktigste informasjonen i starten","Å teste respondentens engasjement","Å fange respondentens interesse og skape en positiv opplevelse av undersøkelsen"
"Hva er hovedutfordringen med retrospektive undersøkelser?","Vanskelige å gjennomføre","Manglende kontrollgrupper","Minneskjevhet hos respondentene","Krever store utvalg","Minneskjevhet hos respondentene"
"Hvilket av følgende er et eksempel på et åpent spørsmål i et spørreskjema?","Hvor enig er du i denne uttaleisen? (1–5 skala)","Hva er din mening om norsk klimapolitikk?","Hvilket av følgende alternativer beskriver din alder?","Hvilket utdanningsnivå har du fullført?","Hva er din mening om norsk klimapolitikk?"
"Hvilken av følgende skalaer brukes typisk for å måle grader av enighet eller uenighet i spørreskjemær?","Intervallskala","Likert-skala","Nominellskala","Ratioskala","Likert-skala"
"Hvilket målenivå passer til variabler som kan rangeres, men hvor avstanden mellom verdiene ikke nødvendigvis er lik?","Nominalskala","Ordinalskala","Intervallskala","Ratioskala","Ordinalskala"
"Hvilket målenivå er passende for variabelen 'kjønn' (mann/kvinne/annet)?","Ordinalskala","Intervallskala","Nominalskala","Ratioskala","Nominalskala"
"Hva er formålet med en indeks i spørreundersøkelser?","Kombinere flere svar for å skape en enkelt verdi","Eliminere behovet for kvalitative analyser","Erstatte individuelle spørsmål","Generalisere uten bruk av data","Kombinere flere svar for å skape en enkelt verdi"
"Hva er et kjennetegn ved en fokusgruppe?","En-til-en-intervju","En gruppe som diskuterer et bestemt tema","En nettbasert spørreundersøkelse","En ustrukturert spørreprosess","En gruppe som diskuterer et bestemt tema"
"Hvilken rolle spiller en moderator i en fokusgruppe?","Å analysere resultatene","Å styre diskusjonen og holde den på rett spor","Å ta notater uten å delta","Å bestemme konklusjonene","Å styre diskusjonen og holde den på rett spor"
"Hva er en fordel med fokusgrupper?","De gir dyptgående innsikt i deltakernes perspektiver","De er raskere å gjennomføre enn spørreskjemaer","De gir statistisk generaliserbare data","De krever ingen etiske vurderinger","De gir dyptgående innsikt i deltakernes perspektiver"
"Hva er en utfordring med fokusgrupper?","Data er ofte overdrevent strukturert","En sterk deltaker kan dominere diskusjonen","De er enkle å generalisere til større populasjoner","De krever ingen forberedelser","En sterk deltaker kan dominere diskusjonen"
"Hva er en fordel med dybdeintervjuer?","De er raske å gjennomføre","De gir rik og detaljert informasjon","De krever ingen spesialisert ferdighet fra intervjueren","De kan analyseres uten transkripsjon","De gir rik og detaljert informasjon"
"Hva er et semistrukturert intervju?","Et intervju uten noen planlagte spørsmål","Et intervju med faste spørsmål og mulighet for oppfølgingsspørsmål","Et intervju med strengt standardiserte spørsmål","En intervjuform som lar deltakerne snakke fritt uten veiledning fra intervjueren","Et intervju med faste spørsmål og mulighet for oppfølgingsspørsmål"
"Hvilke av følgende er IKKE en vanlig svakhet ved intervjuer?","De kan være tidkrevende og ressurskrevende","De gir begrenset innsikt i komplekse temaer","De kan påvirkes av intervjuers subjektivitet","De er mindre egnet for statistisk generalisering","De gir begrenset innsikt i komplekse temaer"
"Hva er viktig for å få ærlige svar i intervjuer?","Bruke ledende spørsmål","Skape et trygt og åpent miljø","Korte intervjuer","Skjule forskningens formål","Skape et trygt og åpent miljø"
"Hvilken metode er typisk for å utforske 'hvorfor' spørsmål?","Kvantitative metoder","Observasjon","Kvalitative metoder","Eksperimenter","Kvalitative metoder"
"Hva er et sentralt formål med en fokusgruppe?","Statistisk generalisering","Avdekke bredden av meninger","Standardisert datainnsamling","Finne fram til en enhetlig løsning","Avdekke bredden av meninger"
"Hva er hovedhensikten med et eksperiment i samfunnsvitenskapelig forskning?","Å beskrive en populasjons egenskaper","Å identifisere årsak-virkning-forhold","Å utforske kvalitative data","Å sammenligne urelaterte variabler","Å identifisere årsak-virkning-forhold"
"Hva kjennetegner et laboratorieeksperiment i samfunnsvitenskap?","Det skjer under kontrollerte betingelser","Det krever alltid en stor deltakergruppe","Det har ingen standardiserte prosedyrer","Det er adferdsstudier av dyr gjennomført i et laboratorium","Det skjer under kontrollerte betingelser"
"Hva er hovedformålet med randomisering i RCT?","Å redusere kostnader","Å eliminere forskerens skjevheter","Å sikre like grupper for sammenligning","Å gi hver deltaker samme behandling","Å sikre like grupper for sammenligning"
"Hva er en styrke ved en randomisert kontrollert studie?","Den gir generaliserbare funn uten videre analyse","Den eliminerer behovet for en kontrollgruppe","Den reduserer sannsynligheten for seleksjonsbias","Den kan gjennomføres uten etiske vurderinger","Den reduserer sannsynligheten for seleksjonsbias"
"Hva skiller et felteksperiment fra et laboratorieeksperiment?","Felteksperimenter bruker ikke kontrollgrupper","Felteksperimenter gjennomføres i naturlige omgivelser","Felteksperimenter krever ikke randomisering","Felteksperimenter fokuserer på kvalitative data","Felteksperimenter gjennomføres i naturlige omgivelser"
"Hva er en veldig vanlig utfordring ved felteksperimenter?","Deltakerne er ikke representative for populasjonen","Det er vanskelig å kontrollere for forstyrrende variabler","De gir ikke realistiske resultater","De krever store budsjett","Det er vanskelig å kontrollere for forstyrrende variabler"
"Hva kjennetegner et kvasieksperiment sammenlignet med et ekte eksperiment?","Det mangler randomisering","Det har ingen kontrollgruppe","Det bruker bare kvalitative data","Det krever ingen dataanalyse","Det mangler randomisering"
"Når brukes kvasieksperimenter vanligvis?","Når randomisering ikke er mulig eller etisk forsvarlig","Når laboratorieforsøk gir for generelle resultater","Når forskningen utelukkende er av teoretisk interesse","Når man ønsker å unngå feltarbeid","Når randomisering ikke er mulig eller etisk forsvarlig"
"Hva er en randomisert kontrollert studie (RCT)?","En studie uten testgruppe","En studie hvor variablene manipuleres tilfeldig","En metode for å teste kausale forhold med tilfeldig tildeling av grupper","En korrelasjonsanalyse mellom flere variabler","En metode for å teste kausale forhold med tilfeldig tildeling av grupper"
"Hva er en kontrollgruppes hovedfunksjon i eksperimenter?","Å redusere antall variabler som måles","Å tjene som sammenligningsgrunnlag for behandlingsgruppen","Å teste hypoteser uten manipulasjon","Å generalisere resultatene til populasjonen","Å tjene som sammenligningsgrunnlag for behandlingsgruppen"
"Hva er en viktig forutsetning for å bruke andrehåndsdata i forskning?","Data må være innhentet gjennom kvalitative intervjuer","Data må være gyldige og relevante for forskningsspørsmålet","Data må være samlet inn av forskeren selv","Data må alltid være fra offentlig tilgjengelige kilder","Data må være gyldige og relevante for forskningsspørsmålet"
"Hva er et hovedtrekk ved casestudier?","De gir generaliserbare data fra store utvalg","De fokuserer på dypere forståelse av spesifikke enheter","De unngår kvalitative data","De krever alltid eksperimentell kontroll","De fokuserer på dypere forståelse av spesifikke enheter"
"Hva er en begrensning ved casestudier?","De er svært tidkrevende å gjennomføre","De gir ofte begrenset generaliserbarhet","De bruker kun kvantitative data","De fokuserer ikke på kontekst","De gir ofte begrenset generaliserbarhet"
"Hva er en kodebok?","En oversikt over alle respondenter i en studie","Et dokument som viser hvordan variabler og koder er definert","En detaljert analyse av kvalitative data","Et program for statistisk analyse","Et dokument som viser hvordan variabler og koder er definert"
